Order_ID,Date,Time,Month,Day,Customer_ID,Customer_Type,Gender,Age,Table_No,Waiter,Category,Item,Quantity,Unit_Price,Sales,Discount,Tax,Total_Bill,Payment_Method,Order_Type,Rating,Profit
ORD00091,19-04-2025,05:19:57,April,Saturday,CUST8055,New,Male,42,18,Emma,Main Course,Pizza,3,16.99,50.97,2.51,9.69,58.15,Online,Delivery,5,12.17
ORD00092,01-07-2025,13:39:27,July,Tuesday,CUST2275,Returning,Female,54,13,David,Starters,Soup,1,5.99,5.99,0.39,1.12,6.72,Apple Pay,Dine-in,4,1.79
ORD00093,11-01-2025,06:42:17,January,Saturday,CUST6928,New,Female,24,8,David,Desserts,Ice Cream,5,4.99,24.95,1.72,4.65,27.88,Online,Takeaway,5,8.21
ORD00094,10-02-2025,18:43:44,February,Monday,CUST2251,New,Male,40,12,Daniel,Drinks,Tea,3,2.49,7.47,0.25,1.44,8.66,Card,Dine-in,3,2.65
ORD00095,12-05-2025,18:06:02,May,Monday,CUST2234,New,Female,47,19,Emily,Main Course,Butter Chicken,5,15.99,79.95,1.83,15.62,93.74,Online,Delivery,5,28.43
ORD00096,16-11-2025,13:41:59,November,Sunday,CUST8245,Returning,Female,55,2,Olivia,Desserts,Cheesecake,3,6.99,20.97,0.47,4.1,24.6,Online,Dine-in,4,5.33
ORD00097,25-08-2025,08:27:26,August,Monday,CUST2479,Returning,Female,55,18,James,Drinks,Coke,1,2.99,2.99,0.17,0.56,3.38,Google Pay,Delivery,5,0.83
ORD00098,07-04-2025,22:26:45,April,Monday,CUST8381,New,Female,63,3,Daniel,Desserts,Cheesecake,4,6.99,27.96,2.1,5.17,31.03,Cash,Dine-in,5,10.18
ORD00099,13-08-2025,16:21:46,August,Wednesday,CUST7697,Returning,Male,58,11,Sophia,Drinks,Coffee,3,3.99,11.97,0.67,2.26,13.56,Apple Pay,Dine-in,5,3.3
ORD00100,14-12-2025,01:52:18,December,Sunday,CUST3463,Returning,Male,55,5,Olivia,Drinks,Tea,3,2.49,7.47,0.81,1.33,7.99,Apple Pay,Delivery,5,2.32
ORD00101,06-12-2025,10:58:48,December,Saturday,CUST7171,Returning,Male,60,17,Sophia,Drinks,Coffee,5,3.99,19.95,2.12,3.57,21.4,Google Pay,Delivery,4,4.68
ORD00102,10-01-2025,13:24:54,January,Friday,CUST8967,New,Male,26,5,Sophia,Desserts,Brownie,2,5.99,11.98,1.71,2.05,12.32,Apple Pay,Dine-in,5,3.09
ORD00103,04-10-2025,02:40:15,October,Saturday,CUST3658,New,Male,64,15,James,Starters,Chicken Wings,5,8.99,44.95,0.88,8.81,52.88,Google Pay,Takeaway,5,13.51
ORD00104,02-05-2025,03:08:21,May,Friday,CUST8684,New,Female,61,19,Emily,Drinks,Tea,4,2.49,9.96,0.35,1.92,11.53,Google Pay,Takeaway,4,2.75
ORD00105,15-09-2025,20:27:57,September,Monday,CUST5096,New,Female,41,18,Sophia,Drinks,Coffee,2,3.99,7.98,0.96,1.4,8.42,Online,Dine-in,4,1.9
ORD00106,12-02-2025,01:58:16,February,Wednesday,CUST8167,New,Male,46,12,James,Main Course,Pizza,4,16.99,67.96,9.23,11.75,70.48,Google Pay,Dine-in,4,15.98
ORD00107,15-09-2025,20:06:06,September,Monday,CUST1461,Returning,Male,63,11,Daniel,Desserts,Ice Cream,4,4.99,19.96,2.98,3.4,20.38,Card,Dine-in,4,5.2
ORD00108,30-08-2025,11:21:17,August,Saturday,CUST1311,Returning,Male,27,18,David,Main Course,Fish & Chips,4,17.99,71.96,6.64,13.06,78.38,Cash,Takeaway,3,25.21
ORD00109,04-06-2025,06:41:35,June,Wednesday,CUST8489,New,Male,49,20,James,Starters,Spring Rolls,2,6.99,13.98,0.88,2.62,15.72,Online,Delivery,3,4.84
ORD00110,15-03-2025,05:52:48,March,Saturday,CUST7825,New,Male,51,12,Sophia,Desserts,Brownie,1,5.99,5.99,0.55,1.09,6.53,Online,Delivery,5,1.56
ORD00111,17-09-2025,05:54:40,September,Wednesday,CUST7116,Returning,Male,40,3,Olivia,Starters,Soup,4,5.99,23.96,0.16,4.76,28.56,Card,Delivery,5,7.33
ORD00112,18-11-2025,01:59:39,November,Tuesday,CUST3868,Returning,Female,58,6,Daniel,Starters,Chicken Wings,2,8.99,17.98,0.12,3.57,21.43,Cash,Delivery,4,5.93
ORD00113,19-01-2025,14:17:30,January,Sunday,CUST6170,Returning,Female,52,16,Michael,Desserts,Ice Cream,1,4.99,4.99,0.59,0.88,5.28,Cash,Delivery,3,1.68
ORD00114,27-05-2025,17:43:24,May,Tuesday,CUST8159,Returning,Female,42,11,Daniel,Desserts,Ice Cream,3,4.99,14.97,0.61,2.87,17.23,Google Pay,Delivery,4,5.31
ORD00115,08-07-2025,07:24:23,July,Tuesday,CUST3956,Returning,Female,24,3,Olivia,Desserts,Ice Cream,4,4.99,19.96,0.24,3.94,23.66,Apple Pay,Takeaway,4,6.71
ORD00116,05-11-2025,16:39:40,November,Wednesday,CUST6776,Returning,Female,58,2,Sophia,Drinks,Coffee,4,3.99,15.96,0.84,3.02,18.14,Google Pay,Takeaway,5,3.88
ORD00117,14-12-2025,15:42:22,December,Sunday,CUST8179,New,Male,22,8,Olivia,Main Course,Chicken Biryani,2,14.99,29.98,3.82,5.23,31.39,Apple Pay,Takeaway,5,9.2
ORD00118,17-01-2025,00:09:26,January,Friday,CUST3255,Returning,Female,38,9,Emma,Main Course,Fish & Chips,3,17.99,53.97,3.01,10.19,61.15,Cash,Dine-in,5,18.57
ORD00119,06-04-2025,05:44:00,April,Sunday,CUST8311,New,Female,62,16,Emma,Drinks,Fresh Juice,5,4.49,22.45,0.4,4.41,26.46,Cash,Dine-in,3,8.08
ORD00120,20-08-2025,12:58:09,August,Wednesday,CUST6236,Returning,Male,53,18,Michael,Main Course,Fish & Chips,1,17.99,17.99,2.19,3.16,18.96,Apple Pay,Dine-in,5,6.24
ORD00121,30-12-2025,07:25:33,December,Tuesday,CUST3275,New,Female,19,12,Olivia,Main Course,Burger,5,11.99,59.95,2.02,11.59,69.52,Google Pay,Delivery,3,23.04
ORD00122,10-11-2025,19:19:56,November,Monday,CUST8842,Returning,Female,54,3,Daniel,Starters,Spring Rolls,3,6.99,20.97,1.25,3.94,23.66,Apple Pay,Delivery,3,7.05
ORD00123,19-08-2025,08:43:03,August,Tuesday,CUST3981,New,Female,50,2,Sophia,Drinks,Tea,2,2.49,4.98,0.66,0.86,5.18,Online,Dine-in,4,1.59
ORD00124,26-03-2025,07:01:47,March,Wednesday,CUST5653,New,Female,30,18,Michael,Main Course,Burger,2,11.99,23.98,1.24,4.55,27.29,Card,Delivery,4,8.89
ORD00125,11-11-2025,06:30:25,November,Tuesday,CUST6531,New,Male,23,2,Michael,Starters,Garlic Bread,5,4.99,24.95,3.52,4.29,25.72,Card,Delivery,4,5.85
ORD00126,13-11-2025,09:07:47,November,Thursday,CUST8912,New,Female,37,15,Sophia,Starters,Soup,5,5.99,29.95,1.3,5.73,34.38,Cash,Dine-in,4,11.27
ORD00127,01-08-2025,00:22:18,August,Friday,CUST6231,Returning,Female,26,12,Sophia,Drinks,Fresh Juice,2,4.49,8.98,0.46,1.7,10.22,Apple Pay,Dine-in,4,2.31
ORD00128,04-03-2025,08:52:10,March,Tuesday,CUST7293,Returning,Male,28,11,Olivia,Desserts,Brownie,2,5.99,11.98,0.25,2.35,14.08,Card,Dine-in,4,3.02
ORD00129,21-09-2025,13:28:44,September,Sunday,CUST7442,Returning,Male,31,19,Olivia,Drinks,Fresh Juice,3,4.49,13.47,1,2.49,14.96,Cash,Dine-in,4,3.29
ORD00130,11-09-2025,23:58:13,September,Thursday,CUST3194,Returning,Female,43,12,James,Drinks,Tea,5,2.49,12.45,0.02,2.49,14.92,Google Pay,Dine-in,5,3.31
ORD00131,15-10-2025,04:14:03,October,Wednesday,CUST8378,Returning,Male,26,4,David,Main Course,Burger,5,11.99,59.95,2.6,11.47,68.82,Apple Pay,Takeaway,5,17.66
ORD00132,07-07-2025,17:53:06,July,Monday,CUST1742,New,Male,63,11,Emily,Main Course,Paneer Butter Masala,5,13.99,69.95,5.34,12.92,77.53,Online,Takeaway,3,21
ORD00133,07-11-2025,20:51:05,November,Friday,CUST5902,Returning,Female,63,19,Michael,Main Course,Burger,5,11.99,59.95,2.86,11.42,68.51,Google Pay,Dine-in,4,17.64
ORD00134,19-06-2025,20:08:20,June,Thursday,CUST1436,Returning,Female,59,19,Emma,Starters,Soup,5,5.99,29.95,1.38,5.71,34.28,Cash,Delivery,4,10.99
ORD00135,29-03-2025,08:30:48,March,Saturday,CUST2800,New,Male,46,11,David,Drinks,Coffee,2,3.99,7.98,0.04,1.59,9.53,Card,Takeaway,5,3.11
ORD00136,15-04-2025,01:59:19,April,Tuesday,CUST6325,Returning,Female,38,6,Emily,Drinks,Fresh Juice,1,4.49,4.49,0.48,0.8,4.81,Online,Takeaway,5,1.31
ORD00137,01-07-2025,19:37:00,July,Tuesday,CUST5890,New,Female,36,7,Emily,Desserts,Cheesecake,4,6.99,27.96,0.81,5.43,32.58,Apple Pay,Takeaway,4,7.79
ORD00138,14-10-2025,16:38:48,October,Tuesday,CUST7464,Returning,Male,36,2,Michael,Desserts,Brownie,1,5.99,5.99,0.52,1.09,6.56,Cash,Takeaway,4,1.81
ORD00139,02-12-2025,01:37:29,December,Tuesday,CUST5442,Returning,Male,24,20,Emma,Desserts,Cheesecake,4,6.99,27.96,0.9,5.41,32.47,Card,Dine-in,5,10.13
ORD00140,29-09-2025,14:49:58,September,Monday,CUST8739,New,Male,18,18,Daniel,Main Course,Paneer Butter Masala,1,13.99,13.99,0.21,2.76,16.54,Google Pay,Delivery,4,4.13
ORD00141,02-09-2025,03:42:00,September,Tuesday,CUST2465,New,Male,29,14,Daniel,Main Course,Pizza,3,16.99,50.97,2.18,9.76,58.55,Cash,Takeaway,4,12.63
ORD00142,06-04-2025,21:12:38,April,Sunday,CUST6489,Returning,Female,59,18,Emily,Desserts,Ice Cream,1,4.99,4.99,0.22,0.95,5.72,Card,Delivery,4,1.62
ORD00143,20-05-2025,00:32:59,May,Tuesday,CUST5215,New,Male,65,11,Michael,Main Course,Veg Biryani,3,12.99,38.97,0.95,7.6,45.62,Online,Delivery,3,12.12
ORD00144,31-03-2025,19:24:13,March,Monday,CUST2562,New,Male,48,11,Emma,Drinks,Fresh Juice,5,4.49,22.45,1.1,4.27,25.62,Cash,Takeaway,4,6.62
